id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Cidreira,BR,-30.1811,-50.2056,70.77,69,0,16.17,clear sky
78,Havelock,US,34.8791,-76.9013,46.94,78,100,1.99,overcast clouds
79,Butaritari,KI,3.0707,172.7902,81.34,75,7,6.11,clear sky
80,Aitape,PG,-3.1374,142.3475,81.84,80,100,3.09,overcast clouds
81,Poso,ID,-1.3959,120.7524,82.6,69,100,1.88,overcast clouds
82,Ballina,AU,-28.8667,153.5667,77.02,49,100,8.99,overcast clouds
83,Veraval,IN,20.9,70.3667,74.88,54,100,11.3,overcast clouds
84,Castro,BR,-24.7911,-50.0119,57.63,96,2,6.2,clear sky
85,Port Alfred,ZA,-33.5906,26.891,63.18,95,0,1.01,clear sky
86,Atuona,PF,-9.8,-139.0333,78.01,76,0,14.56,clear sky
87,Kodiak,US,57.79,-152.4072,35.11,100,75,3.44,mist
88,Grafton,US,42.207,-71.6856,32.25,72,0,12.66,clear sky
89,Lasa,IT,46.6166,10.7002,37.02,72,100,2.84,overcast clouds
90,East London,ZA,-33.0153,27.9116,68.76,89,2,8.39,clear sky
91,Macon,US,39.8667,-88.9668,49.75,96,100,5.44,moderate rain
92,Santa Fe,AR,-31.6333,-60.7,84.99,58,0,3.0,light rain
93,Saskylakh,RU,71.9167,114.0833,-21.91,98,43,6.98,scattered clouds
94,Gombe,NG,10.2897,11.1673,70.27,20,5,7.05,clear sky
95,Bereda,ES,43.2686,-7.5406,51.15,94,81,1.36,light rain
96,Georgetown,MY,5.4112,100.3354,82.24,83,20,0.0,few clouds
97,Ponta Do Sol,PT,32.6667,-17.1,65.03,83,30,19.98,scattered clouds
98,Richards Bay,ZA,-28.783,32.0377,72.9,97,77,4.41,broken clouds
99,Edd,ER,13.9297,41.6925,77.79,63,65,14.67,broken clouds
100,Cabog,PH,15.3153,121.3703,78.96,90,99,12.95,overcast clouds
101,Vuktyl,RU,63.8567,57.3094,24.37,68,44,15.79,scattered clouds
102,Bakong,CM,5.0935,10.4852,62.55,84,31,3.38,scattered clouds
103,Tessalit,ML,20.1986,1.0114,69.87,18,0,7.74,clear sky
104,Portland,US,45.5234,-122.6762,43.61,85,6,1.99,clear sky
105,Emba,KZ,48.8264,58.1442,11.3,83,3,7.05,clear sky
106,Linxia,CN,35.6003,103.2064,21.94,37,100,0.63,overcast clouds
107,Namibe,AO,-15.1961,12.1522,68.27,74,100,2.91,overcast clouds
108,Chokurdakh,RU,70.6333,147.9167,-21.23,98,100,7.45,overcast clouds
109,Norman Wells,CA,65.282,-126.8329,-0.09,97,99,1.81,overcast clouds
110,Naryan-Mar,RU,67.6713,53.087,20.57,85,100,23.24,overcast clouds
111,Bandarbeyla,SO,9.4942,50.8122,72.43,70,1,12.84,clear sky
112,Salalah,OM,17.0151,54.0924,72.45,65,15,3.0,few clouds
113,Touros,BR,-5.1989,-35.4608,78.69,79,78,11.7,broken clouds
114,Houston,US,29.7633,-95.3633,62.91,44,20,10.36,few clouds
115,Leshukonskoye,RU,64.8989,45.7622,22.73,91,100,14.41,light snow
116,Padang,ID,-0.9492,100.3543,73.45,73,100,2.17,light rain
117,Tasiilaq,GL,65.6145,-37.6368,21.36,59,59,8.01,broken clouds
118,Basoko,CD,1.2391,23.616,68.83,95,99,2.91,overcast clouds
119,Faanui,PF,-16.4833,-151.75,80.11,77,100,17.38,light rain
120,Matagami,CA,49.7502,-77.6328,6.39,100,83,3.89,broken clouds
121,Torbay,CA,47.6666,-52.7314,40.26,96,100,17.0,light rain
122,Sabla,NG,12.7525,4.7077,67.66,15,3,9.55,clear sky
123,Sorland,NO,67.667,12.6934,37.26,71,100,36.82,overcast clouds
124,Ixtapa,MX,20.7,-105.2,74.43,69,20,0.0,few clouds
125,Puerto Ayora,EC,-0.7393,-90.3518,70.56,95,66,6.46,broken clouds
126,General Roca,AR,-39.0333,-67.5833,71.62,28,0,17.85,clear sky
127,Coleraine,GB,55.1333,-6.6667,42.53,63,92,12.62,overcast clouds
128,Shahreza,IR,32.0339,51.8794,40.77,53,80,0.4,broken clouds
129,Deputatskiy,RU,69.3,139.9,-33.39,96,97,2.73,overcast clouds
130,Norrtalje,SE,59.758,18.705,18.01,93,100,5.03,overcast clouds
131,Lompoc,US,34.6391,-120.4579,55.02,76,0,3.44,clear sky
132,Port Keats,AU,-14.25,129.55,83.28,66,96,4.92,heavy intensity rain
133,Puerto Maldonado,PE,-12.6,-69.1833,78.1,77,56,2.68,broken clouds
134,Belozerskoye,RU,55.8214,65.5842,1.63,86,15,6.38,few clouds
135,Zemio,CF,5.0314,25.1361,68.52,70,10,1.99,clear sky
